train,valid,test
mp-554651,mp-20044,mp-1181553
mp-1193884,mp-696851,mp-570791
mp-23662,mp-1201413,mp-1194354
mp-557142,mp-13336,mp-29114
mp-1192314,mp-1080753,mp-23321
mp-22649,mp-16487,mp-30412
mp-1102025,mp-30981,mp-1205395
mp-998893,mp-11226,mp-1194237
mp-704114,mp-1190171,mp-1084778
mp-19251,mp-558206,mp-1103193
mp-23517,mp-571181,mp-1198664
mp-2451,mp-1078868,mp-1204627
mp-557980,mp-556541,mp-545825
mp-505312,mp-639164,mp-1196161
mp-20187,mp-642428,mp-13109
mp-1084770,mp-561313,mp-569516
mp-22921,mp-58,mp-5874
mp-567172,mp-1193754,mp-720719
mp-1197764,mp-1189860,mp-1196551
mp-17597,mp-23876,mp-30364
mp-3520,mp-1201339,mp-559195
mp-31455,mp-8230,mp-560637
mp-19261,mp-720464,mp-1200695
mp-1188488,mp-1194252,mp-31321
mp-1197484,mp-1192105,mp-558724
mp-707987,mp-559602,mp-8289
mp-1080696,mp-1191973,mp-735488
mp-557442,mp-1194928,mp-28747
mp-20423,mp-552857,mp-30600
mp-558317,mp-13963,mp-5386
mp-1193956,mp-27842,mp-1077347
mp-1009493,mp-680054,mp-654900
mp-570466,mp-1009817,mp-8399
mp-1190437,mp-1197100,mp-28600
mp-650178,mp-560616,mp-505351
mp-3283,mp-1095499,mp-1071835
mp-861906,mp-579718,mp-1191235
mp-7083,mp-16380,mp-1019785
mp-21392,mp-29026,mp-28700
mp-555370,mp-17137,mp-13560
mp-18251,mp-642398,mp-20938
mp-1079585,mp-20855,mp-24286
mp-505055,mp-1104271,mp-559128
mp-1591,mp-1197152,mp-7703
mp-556053,mp-30936,mp-1105220
mp-1106249,mp-699460,mp-554346
mp-28895,mp-554838,mp-1204839
mp-20117,mp-555776,mp-545343
mp-1191682,mp-1018940,mp-3155
mp-1095419,mp-5109,mp-1070544
mp-1019578,mp-562542,mp-21562
mp-1064497,mp-1200944,mp-547622
mp-23486,mp-561342,mp-19242
mp-1011031,mp-29011,mp-20678
mp-1102024,mp-3667,mp-556264
mp-30672,mp-5927,mp-4155
mp-14430,mp-27922,mp-1194312
mp-1077453,mp-680696,mp-11623
mp-558125,mp-640825,mp-5416
mp-20199,mp-1188092,mp-1198694
mp-30595,mp-571020,mp-1080077
mp-1079700,mp-1204595,mp-9884
mp-1195883,mp-999305,mp-8179
mp-30473,mp-505619,mp-680724
mp-17210,mp-27892,mp-720391
mp-567429,mp-14837,mp-1191138
mp-1191061,mp-561182,mp-560210
mp-17911,mp-1080523,mp-22466
mp-1008559,mp-556102,mp-11673
mp-15840,mp-1179841,mp-1018712
mp-505372,mp-1189573,mp-672675
mp-1203952,mp-21281,mp-1189327
mp-999438,mp-28601,mp-12005
mp-557194,mp-1071980,mp-27539
mp-1077108,mp-1078198,mp-707910
mp-1202782,mp-3010,mp-11903
mp-1203230,mp-570411,mp-1106210
mp-16320,mp-554631,mp-1198412
mp-1192068,mp-27872,mp-24377
mp-22116,mp-10891,mp-18282
mp-654299,mp-1204386,mp-20809
mp-559808,mp-1191395,mp-23303
mp-1194115,mp-1199550,mp-1190442
mp-561369,mp-29426,mp-28564
mp-1018064,mp-560291,mp-1191935
mp-1195215,mp-18496,mp-1067451
mp-9080,mp-36329,mp-21662
mp-11750,mp-11019,mp-1095583
mp-29218,mp-24757,mp-11713
mp-11714,mp-623135,mp-8950
mp-3782,mp-558378,mp-1209061
mp-1196184,mp-722280,mp-558238
mp-1194292,mp-11725,mp-555137
mp-1018689,mp-569334,mp-20402
mp-2853,mp-1018706,mp-642792
mp-2264,mp-1201490,mp-28903
mp-650538,mp-569873,mp-1103861
mp-19777,mp-1179485,mp-1067210
mp-9102,mp-9646,mp-1045
mp-19368,mp-21484,mp-1199046
mp-1078908,mp-570306,mp-573240
mp-1190145,mp-1196485,mp-3647
mp-12177,mp-1095547,mp-1192933
mp-1202842,mp-21049,mp-540582
mp-1078792,mp-1189524,mp-1189182
mp-709549,mp-556906,mp-560414
mp-582142,mp-1203837,mp-28243
mp-1205475,mp-867049,mp-567750
mp-1195928,mp-1474,mp-19139
mp-571262,mp-1202051,mp-1019508
mp-1105650,mp-1201335,mp-1106310
mp-8969,mp-720855,mp-554240
mp-1102866,mp-7538,mp-21026
mp-570108,mp-850868,mp-1062817
mp-1201448,mp-628637,mp-2909
mp-559180,mp-20023,mp-568656
mp-1197862,mp-642822,mp-1009836
mp-29506,mp-5039,mp-1189057
mp-905,mp-559091,mp-1078180
mp-1194006,mp-567451,mp-1102201
mp-1196893,mp-10969,mp-630511
mp-505228,mp-1787,mp-8182
mp-569637,mp-22125,mp-24105
mp-27363,mp-1104639,mp-549970
mp-1190589,mp-4131,mp-31095
mp-556842,mp-28869,mp-569727
mp-571523,mp-12783,mp-649084
mp-556953,mp-1576,mp-20271
mp-550514,mp-27894,mp-11806
mp-23072,mp-12104,mp-24088
mp-1198269,mp-1200839,mp-1195632
mp-1195859,mp-1078957,mp-21819
mp-1200711,mp-3451,mp-23293
mp-16528,mp-540615,mp-30206
mp-1204441,mp-706295,mp-559908
mp-1191256,mp-647352,mp-20176
mp-23875,mp-20906,mp-1092278
mp-654165,mp-556058,mp-559020
mp-20041,mp-28027,mp-707645
mp-601210,mp-1766,mp-20614
mp-21008,mp-17265,mp-608408
mp-1095216,mp-4508,mp-31230
mp-1191513,mp-614724,mp-1197062
mp-757963,mp-999130,mp-9092
mp-541626,mp-1193887,mp-10110
mp-1199908,mp-6674,mp-16785
mp-1025464,mp-1103177,mp-643062
mp-1078964,mp-1070238,mp-22779
mp-1555,mp-1078836,mp-558004
mp-1101752,mp-1204490,mp-2910
mp-667294,mp-4984,mp-540627
mp-510073,mp-30210,mp-21727
mp-1180708,mp-17841,mp-1193997
mp-685145,mp-28288,mp-1205362
mp-758942,mp-22211,mp-1020591
mp-543001,mp-19215,mp-20305
mp-24051,mp-23210,mp-1025176
mp-554745,mp-17734,mp-30179
mp-17719,mp-1192522,mp-510226
mp-540592,mp-1204567,mp-648069
