train,valid,test
mp-560734,mp-642823,mp-559721
mp-27684,mp-985293,mp-556383
mp-556605,mp-505632,mp-683598
mp-7084,mp-27457,mp-17509
mp-561072,mp-22071,mp-542644
mp-4681,mp-684006,mp-1115
mp-561133,mp-5408,mp-12524
mp-30655,mp-558722,mp-1018942
mp-567406,mp-5627,mp-1018638
mp-1019377,mp-23720,mp-942700
mp-550111,mp-28967,mp-554190
mp-29784,mp-122,mp-505382
mp-29269,mp-18220,mp-23632
mp-2104,mp-6539,mp-19946
mp-554483,mp-541158,mp-8388
mp-30782,mp-10872,mp-23844
mp-30194,mp-4297,mp-1950
mp-984350,mp-30935,mp-30243
mp-560275,mp-20481,mp-505357
mp-571502,mp-23022,mp-708997
mp-555812,mp-1328,mp-10965
mp-542339,mp-12264,mp-541129
mp-561247,mp-555657,mp-743890
mp-29817,mp-505630,mp-18825
mp-704542,mp-1287,mp-29190
mp-554710,mp-22012,mp-721193
mp-27176,mp-21779,mp-505743
mp-22042,mp-581967,mp-567351
mp-1009017,mp-642350,mp-30624
mp-683919,mp-1019515,mp-556438
mp-10164,mp-612405,mp-2551
mp-22652,mp-1019324,mp-561197
mp-10644,mp-571500,mp-28255
mp-17236,mp-165,mp-543034
mp-697253,mp-541818,mp-542264
mp-22276,mp-20695,mp-20180
mp-556606,mp-19450,mp-556735
mp-559574,mp-505108,mp-19957
mp-28556,mp-559716,mp-541108
mp-557962,mp-12904,mp-12079
mp-19975,mp-16183,mp-556759
mp-6453,mp-4667,mp-542469
mp-973904,mp-568534,mp-849229
mp-18100,mp-27976,mp-10706
mp-5618,mp-5042,mp-4361
mp-560254,mp-30183,mp-6651
mp-644015,mp-19868,mp-561024
mp-605642,mp-6788,mp-8979
mp-704879,mp-971813,mp-505217
mp-27636,mp-734771,mp-556553
mp-16945,mp-9540,mp-622116
mp-3077,mp-1009134,mp-560652
mp-1020163,mp-628549,mp-31363
mp-571647,mp-558241,mp-30361
mp-27333,mp-867972,mp-20727
mp-685145,mp-3995,mp-19169
mp-722245,mp-20196,mp-18995
mp-19507,mp-560581,mp-8682
mp-708015,mp-558583,mp-645513
mp-557691,mp-28277,mp-1443
mp-555014,mp-10700,mp-679991
mp-27871,mp-684021,mp-16479
mp-8670,mp-645568,mp-570536
mp-15702,mp-583278,mp-27739
mp-19744,mp-698227,mp-16521
mp-680690,mp-559577,mp-643248
mp-24547,mp-1932,mp-21243
mp-569012,mp-14778,mp-8215
mp-14790,mp-22870,mp-20703
mp-15053,mp-12546,mp-10550
mp-8999,mp-561685,mp-568135
mp-763482,mp-542749,mp-3081
mp-605659,mp-7228,mp-610190
mp-18704,mp-1018758,mp-558206
mp-2017,mp-23922,mp-4190
mp-582663,mp-616228,mp-30745
mp-10961,mp-10234,mp-774708
mp-27291,mp-560587,mp-22394
mp-16430,mp-3264,mp-1020739
mp-567614,mp-695883,mp-2049
mp-9068,mp-613227,mp-10950
mp-5456,mp-697072,mp-19154
mp-1448,mp-23416,mp-623511
mp-27816,mp-545796,mp-76
mp-24392,mp-267,mp-23231
mp-14385,mp-6309,mp-555914
mp-722900,mp-2488,mp-29685
mp-30565,mp-10781,mp-604910
mp-636368,mp-973850,mp-6127
mp-2809,mp-558748,mp-2814
mp-23970,mp-2789,mp-21845
mp-1937,mp-607004,mp-18698
mp-27413,mp-569228,mp-556878
mp-5634,mp-18271,mp-13654
mp-16872,mp-22700,mp-645172
mp-19845,mp-23352,mp-2340
mp-568014,mp-15833,mp-696221
mp-19484,mp-7906,mp-8973
mp-540549,mp-21205,mp-3421
mp-6413,mp-568854,mp-1002228
mp-556632,mp-13305,mp-861868
mp-5976,mp-571188,mp-28857
mp-20115,mp-4800,mp-581868
mp-11860,mp-19855,mp-1018097
mp-574122,mp-9782,mp-1008624
mp-29005,mp-680092,mp-541574
mp-866046,mp-28895,mp-18567
mp-28084,mp-10199,mp-9440
mp-4177,mp-510133,mp-708184
mp-31760,mp-556117,mp-583072
mp-17455,mp-554859,mp-556688
mp-31901,mp-540619,mp-10024
mp-4079,mp-866481,mp-542274
mp-978852,mp-22256,mp-559188
mp-985829,mp-8870,mp-560831
mp-29219,mp-738695,mp-20206
mp-27597,mp-555682,mp-8133
mp-9406,mp-554784,mp-8622
mp-558229,mp-555354,mp-17258
mp-23173,mp-1001615,mp-29177
mp-11470,mp-8581,mp-17030
mp-19161,mp-649086,mp-571059
mp-31134,mp-6327,mp-557548
mp-567966,mp-867973,mp-541204
mp-669528,mp-30961,mp-28993
mp-18967,mp-559446,mp-3447
mp-9,mp-11959,mp-978284
mp-559817,mp-554066,mp-568832
mp-505495,mp-9238,mp-7092
mp-971662,mp-768203,mp-680085
mp-29689,mp-697025,mp-555495
mp-18940,mp-19056,mp-510328
mp-19977,mp-22535,mp-20246
mp-19410,mp-556870,mp-29199
mp-2059,mp-567437,mp-567723
mp-554638,mp-14207,mp-1234
mp-505562,mp-17679,mp-18127
mp-3960,mp-1006390,mp-12119
mp-557308,mp-35596,mp-704604
mp-697180,mp-14726,mp-20925
mp-720287,mp-558545,mp-29807
mp-24102,mp-9037,mp-604964
mp-7779,mp-735512,mp-605486
mp-8234,mp-570870,mp-568066
mp-571541,mp-21158,mp-3245
mp-542905,mp-581775,mp-556949
mp-20803,mp-28328,mp-17141
mp-601820,mp-2194,mp-18344
mp-21850,mp-11601,mp-644143
mp-559278,mp-570471,mp-505734
mp-7467,mp-2939,mp-22318
mp-31492,mp-8000,mp-18896
mp-23086,mp-29011,mp-560950
mp-646116,mp-2483,mp-21911
mp-648053,mp-20826,mp-15417
mp-5157,mp-605503,mp-553913
mp-11106,mp-556799,mp-616821
mp-17120,mp-1008284,mp-4732
mp-30942,mp-11007,mp-745034
mp-554477,mp-2278,mp-14721
mp-3776,mp-540586,mp-18965
mp-1018811,mp-20066,mp-580324
mp-6123,mp-22922,mp-5476
mp-560173,mp-27743,mp-15645
mp-706621,mp-21810,mp-23426
mp-620369,mp-746324,mp-2614
mp-559757,mp-30412,mp-7826
mp-541916,mp-10086,mp-568591
mp-28875,mp-720258,mp-28748
mp-3419,mp-557730,mp-556767
mp-574663,mp-219,mp-19398
mp-972408,mp-554079,mp-541367
mp-27855,mp-559514,mp-2578
mp-4426,mp-605088,mp-11903
mp-645740,mp-31086,mp-23376
mp-19215,mp-20366,mp-1007690
mp-569115,mp-22493,mp-16596
mp-1986,mp-652337,mp-27887
mp-31068,mp-5172,mp-517
mp-703312,mp-561703,mp-621953
mp-560180,mp-510567,mp-556831
mp-13861,mp-2297,mp-18450
mp-553914,mp-631350,mp-28826
mp-16522,mp-542020,mp-28324
mp-601842,mp-30735,mp-754844
mp-708993,mp-5481,mp-557181
mp-27487,mp-1383,mp-1009237
mp-568545,mp-16336,mp-696794
mp-634751,mp-999293,mp-7655
mp-554352,mp-24338,mp-679936
mp-18869,mp-12899,mp-13182
mp-12128,mp-8041,mp-18096
mp-631397,mp-27338,mp-1009641
mp-542704,mp-4609,mp-20720
mp-6213,mp-1020626,mp-23089
mp-15683,mp-3846,mp-706367
mp-540540,mp-1018685,mp-24719
mp-559063,mp-5505,mp-1018652
mp-7258,mp-570089,mp-6674
mp-16764,mp-556250,mp-20717
mp-570130,mp-556104,mp-695960
mp-9746,mp-559430,mp-21268
mp-18779,mp-16947,mp-644504
mp-10426,mp-28649,mp-2189
mp-648167,mp-7899,mp-16507
mp-28657,mp-12487,mp-559964
mp-30707,mp-9394,mp-19179
mp-541325,mp-11255,mp-560411
mp-8324,mp-13027,mp-2484
mp-558370,mp-721624,mp-567653
mp-29393,mp-6988,mp-10759
mp-541787,mp-707881,mp-7566
mp-1005,mp-554264,mp-8947
mp-505042,mp-30146,mp-555911
mp-18369,mp-18455,mp-541482
mp-4474,mp-28601,mp-4174
mp-898,mp-1107,mp-9720
mp-1001918,mp-570076,mp-1018821
mp-557856,mp-2012,mp-721301
mp-20538,mp-22433,mp-704688
mp-7072,mp-29629,mp-540861
mp-23556,mp-10450,mp-569935
mp-641191,mp-571613,mp-556111
mp-11541,mp-22730,mp-30787
mp-559123,mp-19433,mp-556588
mp-779689,mp-505366,mp-1019091
mp-504862,mp-706630,mp-11397
mp-540687,mp-10251,mp-6954
mp-1874,mp-541846,mp-633158
mp-282,mp-976273,mp-17541
mp-556036,mp-7377,mp-571443
mp-8812,mp-697221,mp-722937
mp-2680,mp-28373,mp-1329
mp-10046,mp-5584,mp-31479
mp-558632,mp-555904,mp-707788
mp-11553,mp-23827,mp-1018177
mp-2400,mp-1017985,mp-643573
mp-571406,mp-559379,mp-16892
mp-30796,mp-8081,mp-27301
mp-643460,mp-734194,mp-567402
mp-505457,mp-9210,mp-22112
mp-19134,mp-5048,mp-17441
mp-20507,mp-17687,mp-1578
mp-2514,mp-22866,mp-30224
mp-7711,mp-10953,mp-568596
mp-18367,mp-976713,mp-18852
mp-570542,mp-1019522,mp-3522
mp-30499,mp-570254,mp-555443
mp-5439,mp-648394,mp-1019600
mp-504827,mp-570938,mp-542130
mp-6408,mp-15748,mp-23498
mp-559274,mp-23280,mp-569102
mp-558490,mp-3346,mp-707219
mp-16687,mp-310,mp-567320
mp-559277,mp-12464,mp-13791
mp-556369,mp-20793,mp-540895
mp-541745,mp-510246,mp-21267
mp-604996,mp-730190,mp-20635
mp-14244,mp-3872,mp-542522
mp-19048,mp-18401,mp-14133
mp-504524,mp-614572,mp-3932
mp-649177,mp-567219,mp-2620
mp-542003,mp-2808,mp-561384
mp-555382,mp-21394,mp-569350
mp-540671,mp-568431,mp-21340
mp-11253,mp-1018649,mp-662599
mp-6076,mp-560386,mp-554289
mp-6676,mp-558879,mp-7492
mp-504909,mp-17698,mp-21674
mp-25288,mp-542567,mp-10347
mp-1002136,mp-567537,mp-16834
mp-554808,mp-6125,mp-27714
mp-557668,mp-651682,mp-28985
mp-560,mp-735485,mp-707391
mp-1018136,mp-27791,mp-560394
mp-720727,mp-27527,mp-556522
mp-556514,mp-558325,mp-721086
mp-3446,mp-12672,mp-22803
mp-10684,mp-559273,mp-630372
mp-27854,mp-555915,mp-17977
mp-12990,mp-8531,mp-16679
mp-557581,mp-17652,mp-554377
mp-628588,mp-559235,mp-28568
mp-30737,mp-705520,mp-12940
mp-558396,mp-542730,mp-23063
mp-9522,mp-30820,mp-20121
mp-5158,mp-3756,mp-554315
mp-568049,mp-9775,mp-14107
mp-560897,mp-31485,mp-986
mp-639826,mp-604153,mp-31493
mp-972891,mp-651706,mp-21665
mp-560297,mp-3093,mp-561144
mp-867371,mp-744472,mp-1018661
mp-5054,mp-975359,mp-706525
mp-607711,mp-20721,mp-618968
mp-23520,mp-3439,mp-5222
mp-2004,mp-510321,mp-567397
mp-570961,mp-1002219,mp-16532
mp-558850,mp-29048,mp-30857
mp-208,mp-29276,mp-5506
mp-972524,mp-28558,mp-1018946
mp-697284,mp-624187,mp-10212
mp-505139,mp-3179,mp-555069
mp-30903,mp-13985,mp-8762
mp-15011,mp-30741,mp-21096
mp-4471,mp-720397,mp-214
mp-7433,mp-29777,mp-1017465
mp-18337,mp-617426,mp-654301
mp-11420,mp-569666,mp-24389
mp-31420,mp-309,mp-570404
mp-16984,mp-1019086,mp-984697
mp-19519,mp-643023,mp-721180
mp-504613,mp-7783,mp-775
mp-2775,mp-999264,mp-3344
mp-30572,mp-20651,mp-30157
mp-620652,mp-11302,mp-556163
mp-540702,mp-24682,mp-730074
mp-17619,mp-14558,mp-12902
mp-755100,mp-560358,mp-27292
mp-555736,mp-24827,mp-30858
mp-21548,mp-30190,mp-542069
mp-9078,mp-21278,mp-752477
mp-4100,mp-541915,mp-601867
mp-3807,mp-1018134,mp-567515
mp-5560,mp-8097,mp-554616
mp-30177,mp-697945,mp-29687
mp-867757,mp-30453,mp-510546
mp-757297,mp-11575,mp-29308
mp-1020671,mp-704915,mp-23302
mp-559786,mp-554819,mp-696512
mp-20787,mp-21172,mp-555223
mp-22863,mp-17040,mp-666
mp-30585,mp-645130,mp-19895
mp-721592,mp-18827,mp-541758
mp-672272,mp-17324,mp-555552
mp-28372,mp-17045,mp-10453
mp-20820,mp-645953,mp-3466
