id,true,true_score,pred,pred_score
mp-16786,2,0.48490065,1,0.5143365
mp-645273,2,0.47304752,1,0.5262079
mp-572291,1,0.3793411,2,0.6188049
mp-556070,2,0.0099334875,0,0.9900542
mp-555721,1,0.3198439,2,0.6780565
mp-555417,2,0.48537448,1,0.5144264
mp-639306,1,0.3249723,2,0.67418295
mp-556400,2,0.30248103,1,0.6691873
mp-559708,2,0.48224002,1,0.5143685
mp-9754,1,0.40275657,2,0.5968434
mp-684024,1,0.3586523,2,0.64062846
mp-1203710,2,0.48929226,1,0.5097295
mp-19744,1,0.14521983,2,0.8543542
mp-555721,1,0.36518735,2,0.6329949
mp-570252,1,0.3894474,2,0.6102481
mp-759553,4,0.39167055,1,0.60314155
mp-680053,1,0.12646276,2,0.87318665
mp-707956,2,0.3356423,4,0.52588147
mp-27462,1,0.07757378,2,0.9219482
mp-557587,1,0.4765505,2,0.52302873
mp-1095543,1,0.3475551,2,0.6475847
mp-556400,2,0.27494395,1,0.6968837
mp-1203760,2,0.47652808,1,0.5227188
mp-1189614,1,0.40902787,2,0.5882146
mp-556070,2,0.025815642,0,0.97395045
mp-605752,1,0.48861444,2,0.51112527
mp-1198391,1,0.49373895,2,0.5045862
mp-1019719,2,0.034756903,0,0.9652311
mp-9754,1,0.23020393,2,0.7695192
mp-10221,1,0.21369372,2,0.7861747
mp-1203760,2,0.47752896,1,0.5211213
mp-8263,1,0.143227,2,0.8545243
mp-611033,1,0.2137305,2,0.78613484
mp-543024,2,0.39500663,1,0.54574084
mp-21451,1,0.11710268,2,0.8827024
mp-17771,2,0.47082418,1,0.52761096
mp-684024,1,0.3525688,2,0.64711285
mp-638765,4,0.000110827954,1,0.9987999
mp-1666,1,0.4942804,2,0.50268364
mp-622211,1,0.39331663,2,0.60609263
mp-20817,1,0.2816139,2,0.64636105
mp-19744,1,0.45309347,2,0.545331
mp-680053,1,0.09622892,2,0.9034884
mp-17771,2,0.46477357,1,0.53204465
mp-1103651,1,0.11312413,2,0.88677096
mp-558172,2,0.071799435,0,0.9281667
mp-558588,2,0.487787,1,0.5118145
mp-1202558,4,0.0076957336,1,0.99208236
mp-27462,1,0.15875459,2,0.8409129
mp-556400,2,0.26554972,1,0.70933574
mp-1066821,2,0.0018520539,0,0.9981277
mp-27462,1,0.11015487,2,0.88882935
mp-1064497,4,0.00040407386,2,0.997196
mp-1106384,1,0.2590767,2,0.73989606
mp-21451,1,0.13925889,2,0.86031014
mp-559038,2,0.469649,1,0.52945626
mp-639306,1,0.42599836,2,0.57317185
mp-706579,1,0.49193344,2,0.50620645
mp-555721,1,0.43393925,2,0.563896
mp-556070,2,0.027746363,0,0.97223693
mp-1202558,4,0.48217595,1,0.5174814
mp-639306,1,0.23847497,2,0.76104414
mp-572291,1,0.23444527,2,0.7643855
mp-680054,1,0.46531817,2,0.53314555
mp-543024,2,0.4379733,1,0.51472515
mp-1095543,1,0.42274722,2,0.57473284
mp-567629,1,0.4102792,2,0.5889549
mp-1196087,2,0.30948785,1,0.6577883
mp-572291,1,0.31713623,2,0.6810774
mp-18639,4,0.23507123,2,0.53476596
mp-1196259,4,0.08122358,1,0.91859436
mp-1192180,1,0.38737,2,0.61232907
mp-680053,1,0.12459187,2,0.87496513
mp-1102476,1,0.09844123,2,0.9014492
mp-549580,2,0.43543312,1,0.5639923
mp-18639,4,0.005300807,2,0.76963747
mp-684024,1,0.28436393,2,0.715492
mp-1202558,4,0.35399875,1,0.6456962
mp-1078341,1,0.4544463,2,0.544163
mp-556400,2,0.2549948,1,0.69413304
mp-1095543,1,0.4128036,2,0.5848915
mp-1203710,2,0.4033419,1,0.59616154
mp-699483,2,0.49728814,1,0.49973553
mp-571510,2,0.4457249,1,0.5523765
mp-1205257,1,0.39870262,2,0.6005401
mp-611033,1,0.15197313,2,0.8477969
mp-1186868,1,0.12030362,2,0.87961376
mp-684024,1,0.42633572,2,0.5734201
mp-16786,2,0.3990795,1,0.60045606
mp-1188802,4,0.0014998082,1,0.60644704
mp-553965,1,0.47883448,2,0.52040946
mp-1205362,1,0.26094308,2,0.64129084
mp-1079707,1,0.13576266,2,0.86416596
mp-1202310,1,0.4846452,2,0.51520663
mp-555721,1,0.27281684,2,0.7216109
