id,true,true_score,pred,pred_score
mp-570698,1,0.33575135,0,0.6642487
mp-5400,1,0.32212335,0,0.67787665
mp-1018053,1,0.082417436,0,0.9175826
mp-8037,1,0.13763422,0,0.86236584
mp-9350,1,0.05391383,0,0.94608605
mp-999027,1,0.1886675,0,0.8113325
mp-20425,1,0.10789419,0,0.89210576
mp-1020059,1,0.36076903,0,0.6392309
mp-1006882,0,0.3575383,1,0.64246166
mp-569833,1,0.33932096,0,0.660679
mp-5878,0,0.31711498,1,0.68288505
mp-256,1,0.10798408,0,0.892016
mp-999027,1,0.18311077,0,0.8168892
mp-21065,0,0.23169826,1,0.76830167
mp-16886,0,0.47979832,1,0.5202016
mp-8222,0,0.09676626,1,0.9032337
mp-5795,1,0.17464416,0,0.8253558
mp-20425,1,0.11232212,0,0.8876779
mp-1968,1,0.18686834,0,0.8131316
mp-617,0,0.06989874,1,0.9301012
mp-999396,0,0.13849935,1,0.8615006
mp-20425,1,0.12861109,0,0.8713889
mp-559998,1,0.054097958,0,0.945902
mp-11421,1,0.0031029615,0,0.996897
mp-1018053,1,0.046199866,0,0.9538001
mp-11421,1,0.008316518,0,0.99168354
mp-503,1,0.046761826,0,0.95323807
mp-623134,1,0.4497104,0,0.5502896
mp-1873,0,0.047059204,1,0.95294076
mp-3128,1,0.11450914,0,0.88549083
mp-999027,1,0.113640666,0,0.8863594
mp-5373,1,0.4631306,0,0.53686947
mp-12523,0,0.26618588,1,0.73381406
mp-20900,0,0.1608776,1,0.83912235
mp-568880,1,0.2531381,0,0.7468619
mp-12523,0,0.27129665,1,0.7287034
mp-19241,0,0.35663745,1,0.6433626
mp-11765,0,0.45678502,1,0.54321504
mp-1009829,1,0.066888146,0,0.9331118
mp-503,1,0.09000892,0,0.9099911
mp-999396,0,0.07267308,1,0.927327
mp-559998,1,0.064280085,0,0.93571985
mp-20425,1,0.1419744,0,0.8580255
mp-11421,1,0.008853259,0,0.99114674
mp-21273,0,0.34297547,1,0.65702456
mp-562,1,0.48392913,0,0.5160709
mp-11280,1,0.11306549,0,0.8869345
mp-27253,0,0.009221335,1,0.9907787
mp-1100,0,0.48857787,1,0.5114221
mp-2649,1,0.14829606,0,0.851704
