train,valid,test
mp-333,mp-99,mp-10708
mp-5637,mp-27831,mp-20343
mp-22084,mp-572526,mp-27424
mp-15782,mp-3515,mp-2310
mp-19773,mp-560558,mp-505133
mp-18748,mp-1018660,mp-1518
mp-17064,mp-1784,mp-15985
mp-865427,mp-12374,mp-505510
mp-30558,mp-20840,mp-5050
mp-28658,mp-22164,mp-9921
mp-30597,mp-559235,mp-583193
mp-2682,mp-1019363,mp-7339
mp-2323,mp-574599,mp-15079
mp-22723,mp-555860,mp-640381
mp-9951,mp-29403,mp-20301
mp-22152,mp-2951,mp-13682
mp-22899,mp-28929,mp-12205
mp-31469,mp-561531,mp-30668
mp-19836,mp-30406,mp-31415
mp-13263,mp-5479,mp-542595
mp-391,mp-570300,mp-30811
mp-2455,mp-568346,mp-7302
mp-30483,mp-570987,mp-22924
mp-581419,mp-8615,mp-603251
mp-23894,mp-22957,mp-927
mp-28022,mp-1146,mp-22286
mp-662535,mp-1677,mp-31015
mp-568052,mp-673,mp-1391
mp-9392,mp-9844,mp-13836
mp-570590,mp-6499,mp-567220
mp-569802,mp-29633,mp-5960
mp-514,mp-7765,mp-5498
mp-976955,mp-19352,mp-22905
mp-31459,mp-623012,mp-23062
mp-9919,mp-12954,mp-27478
mp-19251,mp-510596,mp-557543
mp-20782,mp-571069,mp-22037
mp-10402,mp-999557,mp-9884
mp-2130,mp-541162,mp-10341
mp-1752,mp-6013,mp-29308
mp-27636,mp-2598,mp-555370
mp-570100,mp-633099,mp-561949
mp-22926,mp-12860,mp-505628
mp-27207,mp-542488,mp-569544
mp-17304,mp-11778,mp-24421
mp-2206,mp-3682,mp-2988
mp-558894,mp-1213,mp-1006321
mp-30466,mp-1018166,mp-9791
mp-698357,mp-3197,mp-29245
mp-1263,mp-570775,mp-8751
mp-649774,mp-501,mp-3070
mp-1887,mp-7559,mp-1018133
mp-12627,mp-22276,mp-30390
mp-22883,mp-8979,mp-2330
mp-1969,mp-10872,mp-696379
mp-725,mp-567116,mp-11304
mp-29652,mp-31297,mp-640345
mp-10759,mp-16514,mp-20836
mp-9080,mp-13866,mp-4150
mp-4856,mp-9664,mp-10877
mp-2351,mp-22305,mp-22607
mp-2819,mp-17207,mp-568252
mp-30451,mp-16032,mp-865095
mp-556235,mp-1018026,mp-8616
mp-7440,mp-2338,mp-7773
mp-19426,mp-5313,mp-20137
mp-39,mp-558724,mp-291
mp-3719,mp-23395,mp-541909
mp-1569,mp-22191,mp-10626
mp-14591,mp-8422,mp-3092
mp-4404,mp-11990,mp-569613
mp-30555,mp-16914,mp-3880
mp-1783,mp-19145,mp-8424
mp-2373,mp-9950,mp-7609
mp-19796,mp-29274,mp-28149
mp-1883,mp-565,mp-23223
mp-20698,mp-30564,mp-22897
mp-6576,mp-20151,mp-13964
mp-877,mp-541899,mp-1019779
mp-30825,mp-30278,mp-17567
mp-4571,mp-560898,mp-19156
mp-8354,mp-20628,mp-570042
mp-10010,mp-28276,mp-7124
mp-9650,mp-567210,mp-561703
mp-11872,mp-10167,mp-568501
mp-4177,mp-9692,mp-21207
mp-567913,mp-22950,mp-560874
mp-20356,mp-554076,mp-505692
mp-16763,mp-23413,mp-12651
mp-545500,mp-8306,mp-23399
mp-1565,mp-4075,mp-23204
mp-617632,mp-20729,mp-618807
mp-31408,mp-20710,mp-4660
mp-720995,mp-556223,mp-5541
mp-16755,mp-13277,mp-18500
mp-21525,mp-505171,mp-1672
mp-15791,mp-5881,mp-18127
mp-18614,mp-31059,mp-558050
mp-3546,mp-9976,mp-5586
mp-6474,mp-720,mp-603719
mp-1623,mp-7726,mp-505002
mp-18051,mp-3166,mp-13483
mp-8133,mp-637052,mp-317
mp-19986,mp-31025,mp-22722
mp-20424,mp-20713,mp-7437
mp-8484,mp-30365,mp-2289
mp-17650,mp-1761,mp-19830
mp-20303,mp-10264,mp-572291
mp-567975,mp-28895,mp-29154
mp-14447,mp-11737,mp-142
mp-3269,mp-571126,mp-13341
mp-1955,mp-29606,mp-29135
mp-8398,mp-5693,mp-12987
mp-569983,mp-30856,mp-2052
mp-644143,mp-569737,mp-552738
mp-2143,mp-640614,mp-768516
mp-10256,mp-17682,mp-568664
mp-9998,mp-24215,mp-24809
mp-605028,mp-27399,mp-13984
mp-635460,mp-11846,mp-27228
mp-999495,mp-756,mp-559963
mp-23083,mp-224,mp-554472
mp-571100,mp-12561,mp-557705
mp-8809,mp-29110,mp-2965
mp-20730,mp-27373,mp-25469
mp-550514,mp-20591,mp-80
mp-2489,mp-5069,mp-615141
mp-18350,mp-4998,mp-4248
mp-9905,mp-27882,mp-22158
mp-560037,mp-2000,mp-2154
mp-567366,mp-558995,mp-632715
mp-21598,mp-1187,mp-30227
mp-23503,mp-30562,mp-541743
mp-23516,mp-29558,mp-17973
mp-2657,mp-2332,mp-8982
mp-20918,mp-6244,mp-557737
mp-1018673,mp-5318,mp-557655
mp-20169,mp-162,mp-14145
mp-542635,mp-18906,mp-3657
mp-23171,mp-20193,mp-15999
mp-8946,mp-157,mp-571090
mp-573908,mp-6854,mp-567666
mp-1008911,mp-1018701,mp-10529
mp-27319,mp-560675,mp-30938
mp-23407,mp-504891,mp-1007918
mp-2693,mp-11540,mp-8837
mp-1897,mp-16548,mp-17986
mp-7137,mp-825,mp-608014
mp-3439,mp-12521,mp-11171
mp-19896,mp-11400,mp-19900
mp-27647,mp-569744,mp-19388
mp-570713,mp-13313,mp-12505
mp-13967,mp-4076,mp-188
mp-14474,mp-604496,mp-7715
mp-975726,mp-505607,mp-569812
mp-5407,mp-5197,mp-3354
mp-170,mp-20987,mp-572332
mp-545974,mp-21850,mp-864994
mp-567945,mp-542584,mp-31186
mp-2987,mp-11278,mp-542888
mp-637771,mp-10086,mp-7066
mp-545481,mp-669311,mp-23241
mp-6397,mp-4611,mp-559296
mp-554774,mp-1251,mp-8704
mp-16834,mp-28118,mp-568289
mp-1190,mp-1296,mp-7691
mp-11801,mp-28163,mp-19736
mp-556725,mp-5835,mp-16795
mp-17474,mp-7171,mp-567279
mp-510346,mp-10342,mp-4820
mp-643727,mp-19132,mp-24150
mp-554110,mp-973793,mp-9890
mp-571085,mp-30858,mp-569790
mp-4589,mp-558982,mp-2500
mp-1007664,mp-541709,mp-8511
mp-16293,mp-999357,mp-16544
mp-24662,mp-504,mp-558160
mp-16484,mp-3419,mp-568100
mp-571586,mp-571433,mp-22426
mp-17,mp-3637,mp-146
mp-30715,mp-30961,mp-1184
mp-1018056,mp-744322,mp-22262
mp-545344,mp-556582,mp-24591
mp-604647,mp-555946,mp-743
mp-27377,mp-11328,mp-13434
mp-616572,mp-20122,mp-22514
mp-30724,mp-9827,mp-5962
mp-27743,mp-2311,mp-634105
mp-20621,mp-20860,mp-8676
mp-27742,mp-4878,mp-2893
mp-1832,mp-7420,mp-11562
mp-558085,mp-756670,mp-977
mp-22637,mp-542915,mp-581990
mp-22942,mp-3186,mp-567588
mp-648164,mp-567653,mp-30091
mp-567644,mp-10552,mp-16237
mp-3191,mp-563025,mp-8393
mp-20857,mp-12693,mp-4962
mp-20478,mp-863723,mp-29392
mp-20997,mp-696329,mp-16238
mp-22673,mp-3278,mp-13327
mp-554144,mp-556821,mp-21325
mp-30904,mp-28202,mp-28557
mp-7068,mp-554061,mp-23526
mp-12948,mp-13811,mp-6613
mp-31012,mp-559332,mp-999576
mp-6788,mp-12905,mp-11345
mp-18759,mp-17865,mp-5190
mp-50,mp-561725,mp-559982
mp-30032,mp-20776,mp-20599
mp-11558,mp-2715,mp-556660
mp-8773,mp-1385,mp-6018
mp-16857,mp-29748,mp-24528
mp-2765,mp-30228,mp-20526
mp-6929,mp-5213,mp-25
mp-569696,mp-19046,mp-1017982
mp-1020016,mp-5702,mp-2557
mp-7028,mp-31294,mp-70
mp-20762,mp-646426,mp-3032
mp-542020,mp-30523,mp-23893
mp-569380,mp-3736,mp-505541
mp-2568,mp-561326,mp-557835
mp-1208,mp-30875,mp-568405
mp-11174,mp-9760,mp-610631
mp-20228,mp-31457,mp-615821
mp-15293,mp-10628,mp-3286
mp-690725,mp-348,mp-35143
mp-1246,mp-1981,mp-21280
mp-1806,mp-30219,mp-6676
mp-30568,mp-1299,mp-19155
mp-28318,mp-6036,mp-504731
mp-554027,mp-668,mp-558111
mp-630851,mp-14501,mp-23494
mp-10776,mp-886,mp-30500
mp-779689,mp-18783,mp-22287
mp-27629,mp-20467,mp-23538
mp-7896,mp-570520,mp-17220
mp-22460,mp-542570,mp-9309
mp-559469,mp-19828,mp-975640
mp-999502,mp-21845,mp-7276
mp-638731,mp-8723,mp-542734
mp-568552,mp-558241,mp-9804
mp-545506,mp-29623,mp-1282
mp-571343,mp-9197,mp-18209
mp-555997,mp-19105,mp-29983
mp-2831,mp-542676,mp-10907
mp-23582,mp-27718,mp-1407
mp-10344,mp-21349,mp-568666
mp-607987,mp-642737,mp-2059
mp-14207,mp-1018762,mp-11977
mp-985277,mp-558188,mp-4836
mp-21892,mp-504741,mp-504821
mp-554302,mp-22780,mp-636978
mp-20879,mp-8818,mp-556872
mp-11344,mp-11169,mp-1018766
mp-884,mp-974307,mp-1018786
mp-30768,mp-248,mp-1018162
mp-549737,mp-568967,mp-541010
mp-7779,mp-2222,mp-29816
mp-20281,mp-4013,mp-20340
mp-504630,mp-5634,mp-556845
mp-5334,mp-555541,mp-20582
mp-569257,mp-1018072,mp-569590
mp-3758,mp-31209,mp-672241
mp-702,mp-570511,mp-31116
mp-19,mp-11760,mp-557092
mp-10254,mp-28313,mp-30796
mp-19210,mp-568146,mp-555358
mp-8763,mp-22317,mp-1050
mp-602328,mp-22414,mp-505822
mp-652608,mp-567747,mp-540584
mp-30566,mp-1018106,mp-29373
mp-20801,mp-7644,mp-11147
mp-374,mp-20490,mp-31362
mp-28731,mp-560043,mp-2273
mp-22320,mp-23722,mp-18197
mp-8431,mp-558191,mp-636525
mp-1922,mp-7707,mp-555403
mp-1256,mp-281,mp-505296
mp-27335,mp-18577,mp-5304
mp-9577,mp-557626,mp-8289
mp-5939,mp-31508,mp-672360
mp-1098,mp-978785,mp-28160
mp-569891,mp-2731,mp-7583
mp-555548,mp-1018704,mp-560563
mp-5556,mp-20916,mp-505630
mp-12921,mp-552185,mp-23414
mp-542951,mp-571185,mp-8579
mp-9338,mp-1766,mp-2636
mp-4006,mp-632686,mp-22859
mp-8372,mp-568672,mp-568540
mp-23146,mp-555852,mp-568066
mp-30497,mp-778,mp-8962
mp-568388,mp-18792,mp-18781
mp-554244,mp-510403,mp-2651
mp-1652,mp-2213,mp-1950
mp-5811,mp-4891,mp-643989
mp-19782,mp-9321,mp-30602
mp-21883,mp-2067,mp-973666
mp-23451,mp-27500,mp-557480
mp-427,mp-2753,mp-22441
mp-6511,mp-1018158,mp-8235
mp-14289,mp-1164,mp-2350
mp-21238,mp-570568,mp-547271
mp-10437,mp-18596,mp-28487
mp-768203,mp-23008,mp-20809
mp-558747,mp-556965,mp-27391
mp-554949,mp-505233,mp-19405
mp-15886,mp-568108,mp-13863
mp-12564,mp-29521,mp-569416
mp-994,mp-1032,mp-11116
mp-3222,mp-28532,mp-3210
mp-1926,mp-23209,mp-559653
mp-574379,mp-21002,mp-684663
mp-29269,mp-15472,mp-2538
mp-541441,mp-5124,mp-541622
mp-11252,mp-4091,mp-1431
mp-8039,mp-568075,mp-555474
mp-571465,mp-567680,mp-27714
mp-20077,mp-3666,mp-22853
mp-8703,mp-7917,mp-973529
mp-14588,mp-22848,mp-505222
mp-23376,mp-5396,mp-568156
mp-11752,mp-13696,mp-8279
mp-568614,mp-30986,mp-1780
mp-20380,mp-485,mp-7876
mp-2874,mp-636331,mp-27844
mp-5944,mp-558332,mp-6956
mp-633,mp-19424,mp-27697
mp-23712,mp-562607,mp-12072
mp-23498,mp-20495,mp-5045
mp-2348,mp-555901,mp-10909
mp-19219,mp-238,mp-555109
mp-27609,mp-686764,mp-10904
mp-1610,mp-796,mp-31258
mp-4805,mp-7794,mp-561380
