material_id;topo_class;sub_class;cross_type
mp-10052;SM*;ESFD†;Point
mp-10054;SM*;ESFD†;Point
mp-10163;trivial*;LCEBR†;
mp-1018159;trivial*;LCEBR†;
mp-1018720;SM*;ESFD†;Point
mp-1019561;trivial*;LCEBR†;
mp-10284;TI*;SEBR†;
mp-10443;trivial*;LCEBR†;
mp-10476;SM*;ESFD†;Point
mp-10485;trivial*;LCEBR†;
mp-10632;SM*;ESFD†;Point
mp-1090;SM*;ES†;Line
mp-10905;SM*;ESFD†;Point
mp-11006;trivial*;LCEBR†;
mp-11307;TI*;NLC†;
mp-11508;TI*;NLC†;
mp-12410;TI*;SEBR†;
mp-12459;trivial*;LCEBR†;
mp-12760;SM*;ESFD†;Point
mp-12794;SM*;ESFD†;Point
mp-12905;SM*;ESFD†;Point
mp-13155;SM*;ESFD†;Point
mp-13182;trivial*;LCEBR†;
mp-13853;trivial*;LCEBR†;
mp-13898;trivial*;LCEBR†;
mp-14482;trivial*;LCEBR†;
mp-1460;TI*;SEBR†;
mp-15687;trivial*;LCEBR†;
mp-1585;SM*;ESFD†;Point
mp-1605;SM*;ESFD†;Point
mp-16718;SM*;ESFD†;Point
mp-16932;SM*;ESFD†;Point
mp-16992;trivial*;LCEBR†;
mp-1735;trivial*;LCEBR†;
mp-18179;trivial*;LCEBR†;
mp-18209;TI*;NLC†;
mp-18719;trivial*;LCEBR†;
mp-18897;trivial*;LCEBR†;
mp-18967;SM*;ESFD†;Point
mp-18992;SM*;ESFD†;Point
mp-19272;SM*;ESFD†;Point
mp-1977;TI*;SEBR†;
mp-19886;trivial*;LCEBR†;
mp-20042;trivial*;LCEBR†;
mp-20112;SM*;ES†;Line
mp-20282;trivial*;LCEBR†;
mp-2099;SM*;ES†;Line
mp-21001;SM*;ESFD†;Point
mp-21194;TI*;SEBR†;
mp-21281;TI*;SEBR†;
mp-2147;TI*;SEBR†;
mp-2157;SM*;ESFD†;Point
mp-22071;SM*;ESFD†;Point
mp-22326;SM*;ESFD†;Point
mp-22502;SM*;ESFD†;Point
mp-22622;TI*;NLC†;
mp-22664;SM*;ESFD†;Point
mp-22666;SM*;ESFD†;Point
mp-23026;TI*;SEBR†;
mp-2323;SM*;ESFD†;Point
mp-23234;SM*;ESFD†;Point
mp-23576;trivial*;LCEBR†;
mp-23657;trivial*;LCEBR†;
mp-23858;trivial*;LCEBR†;
mp-24510;trivial*;LCEBR†;
mp-2643;TI*;SEBR†;
mp-27260;trivial*;LCEBR†;
mp-27419;trivial*;LCEBR†;
mp-27953;SM*;ESFD†;Point
mp-28035;trivial*;LCEBR†;
mp-2809;trivial*;LCEBR†;
mp-28369;trivial*;LCEBR†;
mp-28683;trivial*;LCEBR†;
mp-28993;trivial*;LCEBR†;
mp-29288;trivial*;LCEBR†;
mp-29725;SM*;ESFD†;Point
mp-30086;trivial*;LCEBR†;
mp-30110;SM*;ESFD†;Point
mp-30278;SM*;ESFD†;Point
mp-3038;trivial*;LCEBR†;
mp-30389;TI*;NLC†;
mp-30504;SM*;ESFD†;Point
mp-30704;SM*;ES†;Line
mp-30721;SM*;ES†;Line
mp-31250;trivial*;LCEBR†;
mp-3159;trivial*;LCEBR†;
mp-3262;SM*;ESFD†;Point
mp-3284;TI*;NLC†;
mp-36480;SM*;ESFD†;Point
mp-3826;SM*;ES†;Line
mp-3962;trivial*;LCEBR†;
mp-3991;TI*;NLC†;
mp-4160;trivial*;LCEBR†;
mp-4302;TI*;SEBR†;
mp-4353;SM*;ESFD†;Point
mp-4703;TI*;SEBR†;
mp-504554;trivial*;LCEBR†;
mp-505448;trivial*;LCEBR†;
mp-506;TI*;SEBR†;
mp-5106;trivial*;LCEBR†;
mp-542772;trivial*;LCEBR†;
mp-546862;trivial*;LCEBR†;
mp-5498;TI*;SEBR†;
mp-551873;trivial*;LCEBR†;
mp-552802;TI*;SEBR†;
mp-553932;trivial*;LCEBR†;
mp-555541;trivial*;LCEBR†;
mp-555779;trivial*;LCEBR†;
mp-556031;trivial*;LCEBR†;
mp-556950;trivial*;LCEBR†;
mp-557908;trivial*;LCEBR†;
mp-557991;trivial*;LCEBR†;
mp-558039;trivial*;LCEBR†;
mp-558330;trivial*;LCEBR†;
mp-558895;SM*;ESFD†;Point
mp-559617;trivial*;LCEBR†;
mp-560950;trivial*;LCEBR†;
mp-5659;TI*;SEBR†;
mp-567433;trivial*;LCEBR†;
mp-567687;trivial*;LCEBR†;
mp-567747;SM*;ESFD†;Point
mp-568108;trivial*;LCEBR†;
mp-568536;trivial*;LCEBR†;
mp-568725;SM*;ES†;Line
mp-569188;SM*;ESFD†;Point
